ICAO;Name;Lat;Lon;Alt;Dist;Drct
LDDD;ZAGREB/MAKSIMIR;45.81666666666667;16.033333333333335;123;161.22821373298174;204.71382420994485
LDZA;ZAGREB/PLESO;45.71666666666667;16.066666666666666;107;171.16745304864892;202.133619405814
LHBP;BUDAPEST;47.416666666666664;19.266666666666666;185;198.9529380715314;85.2302714316263
LHKE;KECSKEMET;46.916666666666664;19.75;115;236.35760174727002;95.25592303717612
LHPA;PAPA;47.35;17.5;148;65.29104064243792;79.75591255354149
LHPP;PECS;45.983333333333334;18.233333333333334;305;180.0873634299793;127.89189503771253
LHPR;GYOR;47.63333333333333;17.816666666666666;129;99.63051614933129;69.29807150683354
LHSM;BALATON;46.68333333333333;17.166666666666668;125;68.74575270440202;136.1306909512383
LHTA;TASZAR;46.4;17.916666666666668;160;129.99823294204626;122.68874511990884
LJCE;CERKLJE;45.9;15.516666666666667;155;169.0578321032616;221.57878072357065
LJLJ;LJUBLJANA/BRNIK;46.21666666666667;14.466666666666667;385;200.07863845022234;245.94910408553275
LJMB;MARIBOR;46.46666666666667;15.666666666666666;265;111.66584523021398;233.83704229804107
LJMS;MURSKA SOBOTA;46.63333333333333;16.166666666666668;188;73.71549532139159;221.61261319450819
LJNM;NOVO MESTO;45.78333333333333;15.166666666666666;213;194.61779798165497;226.70006057502812
LKKU;KUNOVICE;49.05;17.45;177;214.0492770944572;22.861339983693703
LKNA;NAMEST;49.166666666666664;16.116666666666667;472;222.647737758472;344.2857377693616
LKTB;BRNO/TURANY;49.13333333333333;16.683333333333334;246;214.93105891498183;0.3951370425074457
LKPP;PIESTANY;48.61666666666667;17.833333333333332;161;180.6421826389431;39.39203481226044
LZIB;BRATISLAVA;48.166666666666664;17.216666666666665;134;115.22676639326795;29.488907812272554
LZPP;PIESTANY;48.61666666666667;17.833333333333332;161;180.6421826389431;39.39203481226044
LZPE;PRIEVIDZA;48.766666666666666;18.583333333333332;260;226.95718739775282;50.688857258605736
LZNI;NITRA;48.28333333333333;18.133333333333333;135;163.98384715857807;53.486754009709635
LOAG;KREMS-LANGENLOIS;48.45;15.633333333333333;312;159.77140797970384;320.3299508667269
LOAN;WR.NEUSTADT EAST;47.85;16.25;272;79.00595862249875;327.1313210666323
LOAV;VOESLAU-KOTTINGB;47.96666666666667;16.266666666666666;233;90.58254270486147;332.2517274596745
LOGG;PUNITZ/GUESSING;47.15;16.316666666666666;290;27.441620042758487;261.94558555361766
LOLF;OBEROSTERREICH;48.516666666666666;14.416666666666666;685;225.37849634521962;300.29857802529733
LOWG;GRAZ;47.0;15.416666666666666;347;97.88097505884971;260.93349726018374
LOWK;KLAGENFURT;46.65;14.316666666666666;441;189.13846344914765;256.8454553646803
LOWL;LINZ;48.21666666666667;14.183333333333334;313;220.3221139388469;292.2370602435921
LOWW;VIENNA/SCHWECHAT;48.11666666666667;16.566666666666666;190;102.20842925281656;353.5683545735559
LOXA;AIGEN/ENNSTAL;47.516666666666666;14.116666666666667;649;197.35888349286157;277.069773769671
LOXL;HORSCHING;48.21666666666667;14.166666666666666;313;221.4111561824775;292.1033088524532
LOXN;WR.NEUSTADT WEST;47.833333333333336;16.216666666666665;280;78.39636724863107;324.40531150095666
LOXT;LANGENLEBARN/TUL;48.31666666666667;16.116666666666667;176;131.079142646274;333.64055480464594
LOXZ;ZELTWEG;47.2;14.75;682;146.02560000000014;269.99999999999994
KQKB;TASZAR;46.4;17.916666666666668;160;129.99823294204626;122.68874511990884
KQKH;KAPOSJULAK;46.38333333333333;17.833333333333332;145;126.77084768416364;125.06907499486873
